timestamp,open,high,low,close,volume
2025-08-11 14:45:00,24568.86419,24570.16281,24552.761293,24561.072466,4631
2025-08-11 14:50:00,24560.553017,24568.344741,24513.542949,24521.854121,11674
2025-08-11 14:55:00,24522.113846,24563.150259,24504.972053,24557.955776,18326
2025-08-11 15:00:00,24557.955776,24568.604466,24544.450121,24555.877983,6942
2025-08-11 15:05:00,24555.618259,24563.150259,24555.098811,24557.955776,1792
2025-08-11 15:10:00,24558.2155,24559.773845,24545.489018,24547.307087,1500
2025-08-11 15:15:00,24547.826535,24548.345983,24534.580604,24539.515363,1006
2025-08-11 15:20:00,24539.775087,24544.190397,24535.100052,24542.112604,500
2025-08-11 15:25:00,24541.593156,24543.670949,24538.995914,24542.372328,394
2025-08-11 15:30:00,24542.372328,24545.489018,24540.813983,24542.372328,315
2025-08-11 15:35:00,24542.372328,24544.709845,24541.85288,24543.670949,350
2025-08-11 15:40:00,24543.670949,24548.086259,24542.632052,24547.826535,347
2025-08-11 15:45:00,24547.826535,24549.904328,24545.489018,24546.26819,401
2025-08-11 15:50:00,24546.26819,24547.826535,24543.930673,24545.748742,303
2025-08-11 15:55:00,24546.26819,24549.125156,24542.372328,24548.605707,417
2025-08-11 17:00:00,24554.319638,24569.903086,24546.008466,24556.657155,876
2025-08-11 17:05:00,24556.397431,24556.397431,24544.709845,24548.865431,399
2025-08-11 17:10:00,24550.164052,24563.150259,24550.164052,24555.358535,417
2025-08-11 17:15:00,24556.397431,24556.397431,24537.177845,24539.515363,418
2025-08-11 17:20:00,24538.73619,24543.411225,24533.801432,24537.437569,360
2025-08-11 17:25:00,24536.658397,24539.255638,24533.801432,24535.100052,214
2025-08-11 17:30:00,24535.359776,24546.527914,24533.022259,24544.969569,344
2025-08-11 17:35:00,24543.930673,24547.826535,24539.255638,24539.515363,181
2025-08-11 17:40:00,24538.73619,24545.748742,24533.541707,24544.450121,380
2025-08-11 17:45:00,24542.891776,24545.489018,24536.398673,24545.489018,196
2025-08-11 17:50:00,24546.008466,24558.734948,24545.229294,24558.2155,352
2025-08-11 17:55:00,24558.2155,24561.33219,24556.137707,24561.072466,174
2025-08-11 18:00:00,24560.553017,24563.669707,24558.734948,24563.669707,189
2025-08-11 18:05:00,24563.669707,24564.448879,24557.436328,24561.591914,135
2025-08-11 18:10:00,24561.851638,24566.266948,24561.591914,24561.851638,176
2025-08-11 18:15:00,24561.851638,24567.305845,24561.072466,24563.409983,167
2025-08-11 18:20:00,24563.409983,24563.929431,24556.657155,24558.2155,160
2025-08-11 18:25:00,24557.696052,24557.696052,24544.450121,24554.319638,375
2025-08-11 18:30:00,24552.761293,24563.929431,24552.241845,24555.877983,293
2025-08-11 18:35:00,24556.137707,24557.696052,24551.982121,24555.618259,101
2025-08-11 18:40:00,24555.358535,24558.2155,24553.021018,24557.436328,84
2025-08-11 18:45:00,24558.2155,24566.266948,24556.91688,24558.2155,182
2025-08-11 18:50:00,24558.2155,24558.475224,24550.943224,24553.80019,172
2025-08-11 18:55:00,24553.280742,24557.436328,24550.164052,24555.618259,158
2025-08-11 19:00:00,24555.358535,24567.305845,24549.38488,24555.877983,745
2025-08-11 19:05:00,24555.618259,24562.371086,24551.982121,24552.241845,225
2025-08-11 19:10:00,24551.202949,24561.591914,24547.047362,24558.734948,216
2025-08-11 19:15:00,24558.734948,24581.590672,24554.319638,24576.39619,639
2025-08-11 19:20:00,24575.876741,24581.850396,24569.123914,24577.954534,504
2025-08-11 19:25:00,24577.435086,24579.512879,24571.201707,24577.175362,228
2025-08-11 19:30:00,24577.435086,24587.304603,24577.435086,24580.292052,358
2025-08-11 19:35:00,24580.8115,24586.265707,24574.837845,24576.136465,185
2025-08-11 19:40:00,24575.097569,24576.39619,24568.344741,24572.500328,277
2025-08-11 19:45:00,24572.760052,24575.357293,24566.526672,24573.798948,187
2025-08-11 19:50:00,24574.578121,24578.733707,24563.669707,24563.669707,347
2025-08-11 19:55:00,24562.890535,24564.189155,24556.91688,24558.2155,389
2025-08-11 20:00:00,24558.2155,24564.448879,24553.540466,24558.994673,541
2025-08-11 20:05:00,24557.176604,24564.968328,24557.176604,24561.072466,245
2025-08-11 20:10:00,24560.812742,24568.86419,24554.579362,24557.436328,270
2025-08-11 20:15:00,24557.436328,24565.7475,24551.982121,24564.448879,289
2025-08-11 20:20:00,24564.189155,24565.228052,24558.2155,24561.33219,211
2025-08-11 20:25:00,24561.33219,24566.007224,24560.812742,24560.812742,123
2025-08-11 20:30:00,24559.773845,24563.409983,24550.6835,24563.409983,343
2025-08-11 20:35:00,24562.890535,24573.539224,24561.591914,24573.539224,271
2025-08-11 20:40:00,24570.941983,24579.253155,24570.941983,24575.097569,313
2025-08-11 20:45:00,24575.097569,24575.876741,24571.721155,24575.097569,92
2025-08-11 20:50:00,24574.058672,24575.357293,24569.643362,24570.941983,128
2025-08-11 20:55:00,24571.980879,24579.512879,24571.201707,24578.993431,156
2025-08-11 21:00:00,24579.772603,24580.292052,24571.980879,24575.097569,204
2025-08-11 21:05:00,24575.876741,24579.253155,24572.240603,24577.954534,132
2025-08-11 21:10:00,24578.733707,24584.707362,24578.733707,24581.330948,252
2025-08-11 21:15:00,24580.292052,24586.525431,24579.253155,24585.22681,171
2025-08-11 21:20:00,24585.486534,24587.824051,24582.889293,24583.928189,158
2025-08-11 21:25:00,24584.967086,24584.967086,24574.058672,24574.058672,244
2025-08-11 21:30:00,24574.578121,24579.253155,24574.318397,24579.253155,123
2025-08-11 21:35:00,24579.253155,24583.149017,24576.39619,24576.915638,116
2025-08-11 21:40:00,24577.435086,24579.253155,24574.058672,24577.69481,96
2025-08-11 21:45:00,24577.175362,24577.435086,24571.201707,24571.980879,115
2025-08-11 21:50:00,24571.980879,24574.058672,24570.16281,24571.980879,85
2025-08-11 21:55:00,24572.240603,24573.798948,24568.085017,24571.461431,140
2025-08-11 22:00:00,24571.201707,24578.473983,24571.201707,24577.69481,119
2025-08-11 22:05:00,24578.214259,24585.486534,24577.69481,24578.733707,249
2025-08-11 22:10:00,24577.954534,24579.253155,24572.240603,24575.617017,179
2025-08-11 22:15:00,24574.058672,24578.473983,24571.980879,24575.617017,81
2025-08-11 22:20:00,24576.915638,24579.772603,24576.915638,24578.473983,45
2025-08-11 22:25:00,24578.993431,24584.447638,24578.733707,24581.330948,85
2025-08-11 22:30:00,24581.850396,24583.408741,24578.733707,24580.551776,61
2025-08-11 22:35:00,24581.071224,24583.408741,24579.512879,24581.330948,48
2025-08-11 22:40:00,24581.330948,24581.850396,24576.655914,24577.175362,70
2025-08-11 22:45:00,24577.954534,24578.733707,24573.019776,24575.876741,94
2025-08-11 22:50:00,24575.097569,24577.69481,24573.539224,24577.69481,40
2025-08-11 22:55:00,24577.954534,24578.733707,24576.136465,24577.69481,52
2025-08-11 23:00:00,24576.136465,24576.136465,24572.240603,24572.760052,92
2025-08-11 23:05:00,24573.2795,24576.136465,24569.903086,24574.058672,125
2025-08-11 23:10:00,24574.578121,24575.357293,24573.2795,24573.2795,41
2025-08-11 23:15:00,24574.837845,24576.655914,24572.760052,24573.019776,51
2025-08-11 23:20:00,24573.019776,24575.617017,24571.721155,24575.617017,30
2025-08-11 23:25:00,24576.39619,24577.435086,24573.019776,24575.876741,28
2025-08-11 23:30:00,24575.097569,24578.733707,24570.16281,24576.915638,89
2025-08-11 23:35:00,24576.655914,24589.901845,24576.655914,24587.564327,220
2025-08-11 23:40:00,24587.044879,24593.797707,24584.447638,24588.862948,275
2025-08-11 23:45:00,24589.122672,24591.719914,24586.005983,24590.161569,99
2025-08-11 23:50:00,24590.940741,24597.693569,24589.122672,24593.537982,257
2025-08-11 23:55:00,24594.317155,24596.394948,24590.940741,24592.239362,262
2025-08-12 00:00:00,24592.75881,24594.057431,24519.25688,24537.697294,2341
2025-08-12 00:05:00,24536.918121,24562.63081,24533.541707,24559.514121,961
2025-08-12 00:10:00,24559.254397,24572.760052,24555.618259,24567.825293,341
2025-08-12 00:15:00,24568.344741,24568.86419,24557.436328,24561.591914,295
2025-08-12 00:20:00,24561.072466,24567.305845,24555.877983,24557.696052,261
2025-08-12 00:25:00,24557.696052,24560.553017,24550.164052,24551.462673,146
2025-08-12 00:30:00,24551.462673,24551.722397,24529.645845,24538.995914,657
2025-08-12 00:35:00,24538.73619,24544.190397,24517.958259,24521.594397,520
2025-08-12 00:40:00,24522.37357,24529.90557,24513.802673,24527.308328,535
2025-08-12 00:45:00,24526.269432,24535.619501,24523.931915,24525.749983,354
2025-08-12 00:50:00,24526.529156,24548.345983,24526.529156,24544.450121,484
2025-08-12 00:55:00,24544.190397,24552.241845,24543.1515,24548.605707,427
2025-08-12 01:00:00,24549.125156,24561.591914,24546.527914,24559.254397,284
2025-08-12 01:05:00,24560.033569,24567.305845,24552.501569,24552.501569,369
2025-08-12 01:10:00,24554.059914,24556.657155,24549.904328,24554.839086,226
2025-08-12 01:15:00,24553.540466,24554.839086,24547.047362,24550.6835,178
2025-08-12 01:20:00,24549.904328,24565.7475,24547.307087,24562.63081,321
2025-08-12 01:25:00,24562.371086,24589.382396,24561.591914,24587.304603,661
2025-08-12 01:30:00,24587.824051,24589.122672,24569.123914,24569.903086,379
2025-08-12 01:35:00,24569.643362,24575.097569,24564.968328,24571.721155,176
2025-08-12 01:40:00,24572.760052,24577.175362,24565.7475,24575.617017,229
2025-08-12 01:45:00,24575.876741,24581.330948,24571.461431,24578.473983,229
2025-08-12 01:50:00,24577.954534,24581.330948,24574.058672,24574.058672,184
2025-08-12 01:55:00,24574.837845,24575.097569,24567.565569,24568.604466,177
2025-08-12 02:00:00,24568.604466,24574.058672,24563.929431,24570.16281,305
2025-08-12 02:05:00,24569.383638,24596.394948,24568.604466,24590.421293,783
2025-08-12 02:10:00,24590.940741,24595.096327,24584.967086,24587.564327,236
2025-08-12 02:15:00,24587.564327,24587.564327,24578.473983,24578.473983,254
2025-08-12 02:20:00,24578.733707,24584.967086,24567.305845,24581.071224,316
2025-08-12 02:25:00,24580.8115,24594.836603,24576.39619,24584.187914,518
2025-08-12 02:30:00,24584.967086,24587.304603,24558.994673,24561.591914,420
2025-08-12 02:35:00,24561.072466,24567.046121,24557.955776,24561.851638,272
2025-08-12 02:40:00,24561.851638,24572.500328,24558.994673,24570.422535,297
2025-08-12 02:45:00,24570.422535,24579.772603,24570.16281,24579.772603,229
2025-08-12 02:50:00,24580.292052,24589.901845,24580.292052,24589.901845,229
2025-08-12 02:55:00,24589.901845,24590.940741,24584.187914,24586.525431,180
2025-08-12 03:00:00,24586.265707,24593.278258,24580.032327,24589.382396,718
2025-08-12 03:05:00,24588.603224,24591.200465,24579.512879,24580.292052,331
2025-08-12 03:10:00,24580.292052,24582.110121,24571.461431,24571.461431,224
2025-08-12 03:15:00,24571.461431,24581.071224,24569.903086,24577.69481,261
2025-08-12 03:20:00,24578.214259,24581.330948,24572.240603,24576.655914,217
2025-08-12 03:25:00,24576.39619,24576.39619,24567.565569,24570.422535,153
2025-08-12 03:30:00,24571.201707,24576.915638,24568.085017,24569.643362,193
2025-08-12 03:35:00,24570.16281,24571.461431,24562.371086,24566.526672,183
2025-08-12 03:40:00,24565.7475,24568.344741,24559.514121,24563.669707,278
2025-08-12 03:45:00,24563.669707,24565.7475,24555.358535,24560.033569,306
2025-08-12 03:50:00,24558.994673,24561.33219,24556.657155,24556.657155,144
2025-08-12 03:55:00,24556.397431,24562.371086,24554.059914,24560.812742,204
2025-08-12 04:00:00,24560.812742,24564.708604,24558.475224,24563.409983,158
