Date,First70,ImpulseMFE,ImpulseMAE
2026-04-29,Down,12.5,203.5
2026-04-30,Down,258.0,200.75
2026-05-01,Up,214.5,84.75
2026-05-04,Up,16.25,311.75
2026-05-05,Up,129.75,39.0
2026-05-06,Up,266.25,74.5
2026-05-07,Up,124.75,268.0
2026-05-08,Up,392.5,89.0
2026-05-11,Up,104.75,128.5
2026-05-12,Down,401.0,153.0
2026-05-13,Down,141.5,349.0
2026-05-14,Up,235.75,87.75
2026-05-15,Down,118.25,278.75
2026-05-18,Down,453.5,40.5
2026-05-19,Up,206.25,257.25
2026-05-20,Up,253.0,135.25
2026-05-21,Up,268.5,158.5
2026-05-22,Up,99.0,159.75
2026-05-26,Down,6.0,286.0
2026-05-27,Down,240.0,36.0
2026-05-28,Down,62.75,361.5
2026-05-29,Up,83.75,182.25
2026-06-01,Up,280.0,121.0
2026-06-02,Down,63.25,234.25
2026-06-03,Down,188.75,54.75
2026-06-04,Up,265.0,187.25
2026-06-05,Down,991.5,43.75
2026-06-08,Down,124.5,287.0
2026-06-09,Down,1439.25,181.25
2026-06-10,Unknown,,
2026-06-11,Down,105.75,861.0
2026-06-12,Down,196.0,334.0
2026-06-15,Up,211.75,48.5
2026-06-16,Up,6.5,580.25
2026-06-17,Down,533.0,89.75
2026-06-18,Down,133.5,258.75
2026-06-22,Up,75.25,389.75
2026-06-23,Down,71.0,398.75
2026-06-24,Unknown,,
2026-06-25,Down,787.5,109.75
2026-06-26,Down,111.0,423.5
2026-06-29,Unknown,,
2026-06-30,Up,482.75,84.0
2026-07-01,Down,111.75,190.75
2026-07-02,Up,147.75,817.25
2026-07-06,Up,188.25,129.5
2026-07-07,Unknown,,
2026-07-08,Up,227.25,238.75
2026-07-09,Down,61.75,317.25
2026-07-10,Up,173.0,229.75
