Date,Open,High,Low,Close,Direction,Extension,Counter
2008-12-11,1416.299899,1431.70078,1319.245289,1339.586076,Bear,97.05461000000014,15.4008809999998
2008-12-12,1341.038989,1414.26582,1323.313447,1412.231742,Bull,73.22683100000017,17.725541999999905
2008-12-14,1411.069411,1423.273883,1402.351931,1420.077473,Bull,12.204472000000123,8.717480000000023
2008-12-15,1419.496308,1423.855048,1357.892784,1385.498137,Bear,61.60352400000011,4.358739999999898
2008-12-16,1386.079302,1451.460401,1382.301727,1430.538449,Bull,65.38109899999995,3.77757500000007
2008-12-17,1428.504371,1446.811078,1400.899018,1430.829032,Bull,18.30670699999996,27.605352999999923
2008-12-18,1429.666701,1438.093599,1387.241633,1411.069411,Bear,42.42506800000001,8.426897999999937
2008-12-19,1411.069411,1438.674764,1405.257758,1407.582419,Bear,5.811652999999978,27.60535300000015
2008-12-21,1408.163584,1422.111552,1406.710671,1415.428151,Bull,13.947968000000174,1.4529129999998531
2008-12-22,1416.299899,1418.62456,1359.345697,1388.985128,Bear,56.95420200000012,2.324660999999878
2008-12-23,1389.566294,1402.351931,1367.191429,1379.977066,Bear,22.374865,12.785636999999952
2008-12-24,1377.942987,1382.59231,1370.097255,1371.550169,Bear,7.845731999999998,4.649323000000095
2008-12-26,1377.071239,1384.335806,1370.097255,1381.429979,Bull,7.264566999999943,6.9739840000002005
2008-12-28,1380.848814,1381.429979,1367.191429,1373.293665,Bear,13.657384999999977,0.5811650000000554
2008-12-29,1373.584247,1392.47212,1343.944816,1372.712499,Bear,29.63943100000006,18.8878729999999
2008-12-30,1372.712499,1405.54834,1367.191429,1401.1896,Bull,32.83584100000007,5.521070000000009
2008-12-31,1401.1896,1423.564465,1391.019207,1409.325915,Bull,22.374865,10.170392999999876
2009-01-02,1407.582419,1474.125849,1399.446104,1456.400306,Bull,66.54342999999994,8.136314999999968
2009-01-04,1454.947393,1456.400306,1446.229913,1452.913314,Bear,8.717480000000023,1.4529130000000805
2009-01-05,1452.041566,1481.971581,1446.229913,1471.801187,Bull,29.930014999999912,5.811653000000206
2009-01-06,1472.672935,1495.919548,1465.408369,1473.544683,Bull,23.246613000000025,7.264566000000059
2009-01-07,1473.254101,1474.707014,1426.760875,1436.640685,Bear,46.49322600000005,1.4529130000000805
2009-01-08,1436.640685,1458.143802,1421.530387,1456.109724,Bull,21.503116999999975,15.110298000000057
2009-01-09,1455.237976,1460.177881,1413.394072,1419.786891,Bear,41.84390399999984,4.939905000000181
2009-01-11,1419.205725,1419.205725,1410.778828,1414.846985,Bear,8.426897000000054,0.0
2009-01-12,1415.137568,1425.017379,1378.814735,1408.163584,Bear,36.32283300000017,9.87981099999979
2009-01-13,1407.582419,1416.299899,1377.361822,1405.838923,Bear,30.220596999999998,8.717480000000023
2009-01-14,1404.095427,1406.129506,1326.509856,1334.646171,Bear,77.58557100000007,2.0340790000000197
2009-01-15,1334.646171,1384.335806,1323.313447,1382.882893,Bull,49.68963499999995,11.332724000000098
2009-01-16,1382.882893,1395.959112,1353.534044,1391.30979,Bull,13.076219000000037,29.348848999999973
2009-01-18,1393.634451,1420.658639,1393.634451,1407.582419,Bull,27.024188000000095,0.0
2009-01-19,1407.582419,1411.650576,1372.131334,1375.037161,Bear,35.45108500000015,4.068156999999928
2009-01-20,1375.618326,1388.694546,1315.758297,1337.551997,Bear,59.86002899999994,13.076219999999921
2009-01-21,1337.551997,1397.412026,1325.347525,1396.540278,Bull,59.86002899999994,12.204472000000123
2009-01-22,1395.959112,1396.249695,1332.030927,1354.696374,Bear,63.928184999999985,0.2905829999999696
2009-01-23,1353.534044,1384.335806,1326.800439,1353.243461,Bear,26.733604999999898,30.801762000000053
