Date,FirstImpulse,ImpulseMFE,ImpulseMAE
2009-01-02,Up,58.69562285000006,1.164406149999877
2009-01-05,Down,4.644134460714213,30.51636853928585
2009-01-06,Up,10.50975213571428,14.480356864285795
2009-01-07,Down,23.950238253571342,10.338515746428811
2009-01-08,Down,6.399044860714184,27.017961139285717
2009-01-09,Down,34.99756889285709,1.325264107142857
2009-01-12,Down,37.656400289285784,1.2816767107142368
2009-01-13,Up,15.72571131071436,23.21236568928566
2009-01-14,Down,28.476062932143122,3.197447067856956
2009-01-15,Down,15.78279038214282,44.07723861785712
2009-01-16,Down,31.826065982142836,10.017837017857119
2009-01-19,Down,6.824540585714431,3.0552694142857035
2009-01-20,Down,54.792475278571374,3.6146407214287137
2009-01-21,Up,26.22612322499981,23.463512775000254
2009-01-22,Up,24.930954764285843,21.562271235714206
2009-01-23,Down,0.9184488928569863,56.616918107142965
2009-01-26,Up,22.478644974999952,17.912345024999922
2009-01-27,Up,11.972005328571413,9.531111671428562
2009-01-28,Up,31.408872339285608,7.819786660714271
2009-01-29,Down,16.08997750357139,10.643627496428508
2009-01-30,Down,33.89335415000005,3.591809850000118
2009-02-02,Up,32.43110099285718,5.635228007142814
2009-02-03,Down,12.77525885,34.00855015000002
2009-02-04,Up,25.053413967857296,14.465828032142781
2009-02-05,Up,54.13347467142853,5.145388328571471
2009-02-06,Up,30.250693857142778,5.490974142857112
2009-02-09,Up,5.445310739285787,13.44256226071434
2009-02-10,Up,10.536735514285738,64.43359148571426
2009-02-11,Up,1.2069556642854877,36.85937333571451
2009-02-12,Up,29.383095367857322,17.110130632142727
2009-02-13,Down,0.38709707857151443,21.987767921428485
2009-02-16,Down,14.071465410714154,0.16708458928587788
2009-02-17,Down,12.06229349285718,16.705390507142738
2009-02-18,Down,18.898251385714048,18.87749461428598
2009-02-19,Up,1.481971700000031,40.65251429999989
2009-02-20,Up,26.234425264285846,10.0884077357141
2009-02-23,Down,54.026581407142885,2.3464555928569553
2009-02-24,Up,39.12072874285718,8.825410257142948
2009-02-25,Down,15.38946569285713,33.719004307142995
2009-02-26,Down,41.23471762857139,14.847735371428598
2009-02-27,Up,15.957139028571419,5.836559971428642
2009-03-02,Up,11.25800285357127,37.26930214642857
2009-03-03,Down,14.434693400000015,21.016391600000134
2009-03-04,Up,27.133156596428535,7.736763403571558
2009-03-05,Up,3.7059672214286365,34.9415277785713
2009-03-06,Down,37.313927882142934,15.281534117857063
2009-03-09,Down,35.63892636071432,4.461481639285694
2009-03-10,Up,19.179494217857155,1.451874782142795
2009-03-11,Down,15.018972775000293,9.389971224999726
2009-03-12,Up,33.650511025000014,7.612227974999996
2009-03-13,Up,6.531557157142743,19.63778384285729
2009-03-16,Up,18.172073599999976,17.301921399999856
2009-03-17,Up,36.03953096428563,4.3775630357142745
2009-03-18,Up,41.68333955714297,8.329179442856912
2009-03-19,Up,1.8100567214285093,23.48697327857144
2009-03-20,Down,35.3978748678569,2.402284132142995
2009-03-23,Up,37.111609642857275,6.503959357142776
2009-03-24,Up,12.73428637500001,14.307366624999986
2009-03-25,Up,3.477361103571411,60.78290989642869
2009-03-26,Up,29.82805088571422,3.029010114285711
2009-03-27,Up,2.7848206428568574,19.313733357143064
2009-03-30,Down,26.08359493214266,2.121139067857257
2009-03-31,Up,23.794369032142868,7.899610967857143
2009-04-01,Down,0.7144641214288185,51.33344787857118
2009-04-02,Up,37.50939002857149,4.3615559714285155
2009-04-03,Up,9.58711683214301,17.454535167857102
2009-04-06,Down,8.388728453571503,24.1775635464287
2009-04-07,Down,27.33553842142851,2.9045895785714038
2009-04-08,Up,13.101286017857092,18.011152982142903
2009-04-09,Up,15.477296378571282,5.74894762142867
2009-04-13,Down,4.598327867857051,20.989473132143075
2009-04-14,Up,2.238931867857218,27.12888413214273
2009-04-15,Down,11.681703382142814,15.069178617857233
2009-04-16,Down,8.272419710714303,35.34314928928575
2009-04-17,Down,3.5297451678572997,23.511906832142813
2009-04-20,Down,23.930408124999985,3.692784875000143
2009-04-21,Up,23.95533231071431,1.3416976892856383
2009-04-22,Up,42.63318005000019,1.854700949999824
2009-04-23,Down,17.595766067857085,12.353590932142879
2009-04-24,Down,6.854913453571271,34.43449154642872
2009-04-27,Up,24.36448741071422,4.131017589285875
2009-04-28,Down,1.502660332143023,25.538992667856974
2009-04-29,Up,24.77260451785719,2.559818482142873
2009-04-30,Up,18.332038953571328,22.375825046428645
2009-05-01,Down,6.135255939285571,19.161773060714268
2009-05-04,Down,0.904504353571383,23.520214646428485
2009-05-05,Down,10.893507478571564,9.460424521428422
2009-05-06,Down,35.083532646428466,3.2981673535714435
