Date,First100,ImpulseMFE,ImpulseMAE
2026-04-29,Up,33.5,153.25
2026-04-30,Down,228.0,230.75
2026-05-01,Up,184.5,114.75
2026-05-04,Down,141.75,64.0
2026-05-05,Up,99.75,56.75
2026-05-06,Up,236.25,104.5
2026-05-07,Up,94.75,298.0
2026-05-08,Up,362.5,37.0
2026-05-11,Up,74.75,158.5
2026-05-12,Down,371.0,116.0
2026-05-13,Down,111.5,379.0
2026-05-14,Up,205.75,49.5
2026-05-15,Down,88.25,308.75
2026-05-18,Down,423.5,70.5
2026-05-19,Up,176.25,287.25
2026-05-20,Up,223.0,165.25
2026-05-21,Up,238.5,188.5
2026-05-22,Up,69.0,189.75
2026-05-26,Up,116.0,116.75
2026-05-27,Down,210.0,66.0
2026-05-28,Down,32.75,391.5
2026-05-29,Up,53.75,212.25
2026-06-01,Up,250.0,151.0
2026-06-02,Down,33.25,264.25
2026-06-03,Down,158.75,84.75
2026-06-04,Down,17.25,435.0
2026-06-05,Down,961.5,73.75
2026-06-08,Down,94.5,317.0
2026-06-09,Down,1409.25,211.25
2026-06-10,Up,297.25,459.75
2026-06-11,Down,75.75,891.0
2026-06-12,Down,166.0,364.0
2026-06-15,Up,181.75,78.5
2026-06-16,Down,410.25,58.5
2026-06-17,Down,503.0,119.75
2026-06-18,Down,103.5,288.75
2026-06-22,Up,45.25,419.75
2026-06-23,Down,41.0,428.75
2026-06-24,Up,96.25,546.5
2026-06-25,Down,757.5,139.75
2026-06-26,Down,81.0,453.5
2026-06-29,Up,326.5,469.25
2026-06-30,Up,452.75,114.0
2026-07-01,Down,81.75,220.75
2026-07-02,Up,117.75,847.25
2026-07-06,Up,158.25,159.5
2026-07-07,Down,283.0,114.0
2026-07-08,Up,197.25,268.75
2026-07-09,Up,147.25,231.75
2026-07-10,Up,143.0,259.75
